Date,Index,Open,High,Low,Close,Volume,Currency
2019-01-11,NIFTY 50,10834.75,10850.15,10739.4,10794.95,260792000,INR
2019-01-14,NIFTY 50,10807.0,10808.0,10692.35,10737.6,298774016,INR
2019-01-15,NIFTY 50,10777.55,10896.95,10777.55,10886.8,310736992,INR
2019-01-16,NIFTY 50,10899.65,10928.15,10876.9,10890.3,276539008,INR
2019-01-17,NIFTY 50,10920.85,10930.65,10844.65,10905.2,271676000,INR
2019-01-18,NIFTY 50,10914.85,10928.2,10852.2,10906.95,323814016,INR
2019-01-21,NIFTY 50,10919.35,10987.45,10885.75,10961.85,288828992,INR
2019-01-22,NIFTY 50,10949.8,10949.8,10864.15,10922.75,300768000,INR
2019-01-23,NIFTY 50,10931.05,10944.8,10811.95,10831.5,298876000,INR
2019-01-24,NIFTY 50,10844.05,10866.6,10798.65,10849.8,361081984,INR
2019-01-25,NIFTY 50,10859.75,10931.7,10756.45,10780.55,463444992,INR
2019-01-28,NIFTY 50,10792.45,10804.45,10630.95,10661.55,419683008,INR
2019-01-29,NIFTY 50,10653.7,10690.35,10583.65,10652.2,356908992,INR
2019-01-30,NIFTY 50,10702.25,10710.2,10612.85,10651.8,410108000,INR
2019-01-31,NIFTY 50,10690.55,10838.05,10678.55,10830.95,604817984,INR
2019-02-01,NIFTY 50,10851.35,10983.45,10813.45,10893.65,482272992,INR
2019-02-04,NIFTY 50,10876.75,10927.9,10814.15,10912.25,318300000,INR
2019-02-05,NIFTY 50,10908.65,10956.7,10886.7,10934.35,268095008,INR
2019-02-06,NIFTY 50,10965.1,11072.6,10962.7,11062.45,298510016,INR
2019-02-07,NIFTY 50,11070.45,11118.1,11043.6,11069.4,263544000,INR
2019-02-08,NIFTY 50,11023.5,11041.2,10925.45,10943.6,352787008,INR
2019-02-11,NIFTY 50,10930.9,10930.9,10857.1,10888.8,285984992,INR
2019-02-12,NIFTY 50,10879.7,10910.9,10823.8,10831.4,292315008,INR
2019-02-13,NIFTY 50,10870.55,10891.65,10772.1,10793.65,321959008,INR
2019-02-14,NIFTY 50,10786.1,10792.7,10718.75,10746.05,627041024,INR
2019-02-15,NIFTY 50,10780.25,10785.75,10620.4,10724.4,521876992,INR
2019-02-18,NIFTY 50,10738.65,10759.9,10628.4,10640.95,345440000,INR
2019-02-19,NIFTY 50,10636.7,10722.85,10585.65,10604.35,291507008,INR
2019-02-20,NIFTY 50,10655.45,10752.7,10646.4,10735.45,289195008,INR
2019-02-21,NIFTY 50,10744.1,10808.85,10721.5,10789.85,279584992,INR
2019-02-22,NIFTY 50,10782.7,10801.55,10758.4,10791.65,396847008,INR
2019-02-25,NIFTY 50,10813.25,10887.1,10788.05,10880.1,385904992,INR
2019-02-26,NIFTY 50,10775.3,10888.75,10729.3,10835.3,414953984,INR
2019-02-27,NIFTY 50,10881.2,10939.7,10751.2,10806.65,381080000,INR
2019-02-28,NIFTY 50,10865.7,10865.7,10784.85,10792.5,644158976,INR
2019-03-01,NIFTY 50,10842.65,10877.9,10823.1,10863.5,308526016,INR
2019-03-05,NIFTY 50,10864.85,10994.9,10817.0,10987.45,373220000,INR
2019-03-06,NIFTY 50,11024.85,11062.3,10998.85,11053.0,372551008,INR
2019-03-07,NIFTY 50,11077.95,11089.05,11027.1,11058.2,321208992,INR
2019-03-08,NIFTY 50,11038.85,11049.0,11008.95,11035.4,326569984,INR
2019-03-11,NIFTY 50,11068.75,11180.9,11059.85,11168.05,352241984,INR
2019-03-12,NIFTY 50,11231.35,11320.4,11227.0,11301.2,391311008,INR
2019-03-13,NIFTY 50,11326.2,11352.3,11276.6,11341.7,382996000,INR
2019-03-14,NIFTY 50,11382.5,11383.45,11313.75,11343.25,294480992,INR
2019-03-15,NIFTY 50,11376.85,11487.0,11370.8,11426.85,463704992,INR
2019-03-18,NIFTY 50,11473.85,11530.15,11412.5,11462.2,320249984,INR
2019-03-19,NIFTY 50,11500.3,11543.85,11451.25,11532.4,326100000,INR
2019-03-20,NIFTY 50,11553.35,11556.1,11503.1,11521.05,366297984,INR
2019-03-22,NIFTY 50,11549.2,11572.8,11434.55,11456.9,386193984,INR
2019-03-25,NIFTY 50,11395.65,11395.65,11311.6,11354.25,294459008,INR
2019-03-26,NIFTY 50,11375.2,11496.75,11352.45,11483.25,282575008,INR
2019-03-27,NIFTY 50,11531.45,11546.2,11413.0,11445.05,350446016,INR
2019-03-28,NIFTY 50,11463.65,11588.5,11452.45,11570.0,527679008,INR
2019-03-29,NIFTY 50,11625.45,11630.35,11570.15,11623.9,416276992,INR
2019-04-01,NIFTY 50,11665.2,11738.1,11644.75,11669.15,379572992,INR
2019-04-02,NIFTY 50,11711.55,11729.35,11655.85,11713.2,386131008,INR
2019-04-03,NIFTY 50,11735.3,11761.0,11629.15,11643.95,365760000,INR
2019-04-04,NIFTY 50,11660.2,11662.55,11559.2,11598.0,349030016,INR
2019-04-05,NIFTY 50,11638.4,11689.65,11609.5,11665.95,266666000,INR
2019-04-08,NIFTY 50,11704.35,11710.3,11549.1,11604.5,260932992,INR
2019-04-09,NIFTY 50,11612.05,11683.9,11569.7,11671.95,300468000,INR
2019-04-10,NIFTY 50,11646.85,11680.05,11571.75,11584.3,359940992,INR
2019-04-11,NIFTY 50,11592.55,11606.7,11550.55,11596.7,279776000,INR
2019-04-12,NIFTY 50,11612.85,11657.35,11578.8,11643.45,246006000,INR
2019-04-15,NIFTY 50,11667.0,11704.6,11648.25,11690.35,289996000,INR
2019-04-16,NIFTY 50,11736.2,11810.95,11731.55,11787.15,354315008,INR
2019-04-18,NIFTY 50,11856.15,11856.15,11738.5,11752.8,339654016,INR
2019-04-22,NIFTY 50,11727.05,11727.05,11583.95,11594.45,260356000,INR
2019-04-23,NIFTY 50,11612.95,11645.95,11564.8,11575.95,272544000,INR
2019-04-24,NIFTY 50,11601.5,11740.85,11578.85,11726.15,335196992,INR
2019-04-25,NIFTY 50,11735.7,11796.75,11624.3,11641.8,604360000,INR
2019-04-26,NIFTY 50,11683.75,11762.9,11661.75,11754.65,333484000,INR
2019-04-30,NIFTY 50,11748.75,11756.25,11655.9,11748.15,532631008,INR
2019-05-02,NIFTY 50,11725.55,11789.3,11699.55,11724.75,380278016,INR
2019-05-03,NIFTY 50,11722.6,11770.9,11699.35,11712.25,305520000,INR
2019-05-06,NIFTY 50,11605.8,11632.55,11571.35,11598.25,299046016,INR
2019-05-07,NIFTY 50,11651.5,11657.05,11484.45,11497.9,337496000,INR
2019-05-08,NIFTY 50,11478.7,11479.1,11346.95,11359.45,372825984,INR
2019-05-09,NIFTY 50,11322.4,11357.6,11255.05,11301.8,373028000,INR
2019-05-10,NIFTY 50,11314.15,11345.8,11251.05,11278.9,387323008,INR
2019-05-13,NIFTY 50,11258.7,11300.2,11125.6,11148.2,357585984,INR
2019-05-14,NIFTY 50,11151.65,11294.75,11108.3,11222.05,398123008,INR
2019-05-15,NIFTY 50,11271.7,11286.8,11136.95,11157.0,414174016,INR
2019-05-16,NIFTY 50,11180.35,11281.55,11143.35,11257.1,350735008,INR
2019-05-17,NIFTY 50,11261.9,11426.15,11259.85,11407.15,412108992,INR
2019-05-20,NIFTY 50,11651.9,11845.2,11591.7,11828.25,452096000,INR
2019-05-21,NIFTY 50,11863.65,11883.55,11682.8,11709.1,381038016,INR
2019-05-22,NIFTY 50,11727.95,11784.8,11682.4,11737.9,355871008,INR
2019-05-23,NIFTY 50,11901.3,12041.15,11614.5,11657.05,569030976,INR
2019-05-24,NIFTY 50,11748.0,11859.0,11658.1,11844.1,374636992,INR
2019-05-27,NIFTY 50,11855.5,11957.15,11812.4,11924.75,348356000,INR
2019-05-28,NIFTY 50,11958.35,11958.55,11864.9,11928.75,598307968,INR
2019-05-29,NIFTY 50,11905.8,11931.9,11836.8,11861.1,318068992,INR
2019-05-30,NIFTY 50,11865.3,11968.55,11859.4,11945.9,421200000,INR
2019-05-31,NIFTY 50,11999.8,12039.25,11829.45,11922.8,438880000,INR
2019-06-03,NIFTY 50,11953.75,12103.05,11920.1,12088.55,315300000,INR
2019-06-04,NIFTY 50,12052.65,12095.2,12005.85,12021.65,289220000,INR
2019-06-06,NIFTY 50,12039.8,12039.8,11830.25,11843.75,415209984,INR
2019-06-07,NIFTY 50,11865.2,11897.5,11769.5,11870.65,302460000,INR
2019-06-10,NIFTY 50,11934.9,11975.05,11871.75,11922.7,303329984,INR
2019-06-11,NIFTY 50,11959.85,12000.35,11904.35,11965.6,332180000,INR
2019-06-12,NIFTY 50,11962.45,11962.45,11866.35,11906.2,283720000,INR
2019-06-13,NIFTY 50,11873.9,11931.35,11817.05,11914.05,447900000,INR
2019-06-14,NIFTY 50,11910.1,11911.85,11797.7,11823.3,390300000,INR
2019-06-17,NIFTY 50,11844.0,11844.05,11657.75,11672.15,295529984,INR
2019-06-18,NIFTY 50,11677.05,11727.2,11641.15,11691.5,365529984,INR
2019-06-19,NIFTY 50,11744.45,11802.5,11625.1,11691.45,446929984,INR
2019-06-20,NIFTY 50,11653.65,11843.5,11635.05,11831.75,442020000,INR
2019-06-21,NIFTY 50,11827.6,11827.95,11705.1,11724.1,468430016,INR
2019-06-24,NIFTY 50,11725.8,11754.0,11670.2,11699.65,277620000,INR
2019-06-25,NIFTY 50,11681.0,11814.4,11651.0,11796.45,300480000,INR
2019-06-26,NIFTY 50,11768.15,11871.85,11757.55,11847.55,327889984,INR
2019-06-27,NIFTY 50,11860.85,11911.15,11821.05,11841.55,480169984,INR
2019-06-28,NIFTY 50,11861.15,11871.7,11775.5,11788.85,303889984,INR
2019-07-01,NIFTY 50,11839.9,11884.65,11830.8,11865.6,278420000,INR
2019-07-02,NIFTY 50,11890.3,11917.45,11814.7,11910.3,363200000,INR
2019-07-03,NIFTY 50,11932.15,11945.2,11887.05,11916.75,340529984,INR
2019-07-04,NIFTY 50,11928.8,11969.25,11923.65,11946.75,333600000,INR
2019-07-05,NIFTY 50,11964.75,11981.75,11797.9,11811.15,530720000,INR
2019-07-08,NIFTY 50,11770.4,11771.9,11523.3,11558.6,464030016,INR
2019-07-09,NIFTY 50,11531.6,11582.55,11461.0,11555.9,442520000,INR
2019-07-10,NIFTY 50,11536.15,11593.7,11475.65,11498.9,337569984,INR
2019-07-11,NIFTY 50,11561.45,11599.0,11519.5,11582.9,317260000,INR
2019-07-12,NIFTY 50,11601.15,11639.55,11538.6,11552.5,359420000,INR
2019-07-15,NIFTY 50,11614.75,11618.4,11532.3,11588.35,368790016,INR
2019-07-16,NIFTY 50,11596.65,11670.05,11573.95,11662.6,480160000,INR
2019-07-17,NIFTY 50,11670.75,11706.65,11651.15,11687.5,464830016,INR
2019-07-18,NIFTY 50,11675.6,11677.15,11582.4,11596.9,498260000,INR
2019-07-19,NIFTY 50,11627.95,11640.35,11399.3,11419.25,446049984,INR
2019-07-22,NIFTY 50,11392.85,11398.15,11301.25,11346.2,516040000,INR
2019-07-23,NIFTY 50,11372.25,11398.15,11302.8,11331.05,458929984,INR
2019-07-24,NIFTY 50,11322.45,11359.75,11229.8,11271.3,413200000,INR
2019-07-25,NIFTY 50,11290.4,11361.4,11239.35,11252.15,553680000,INR
2019-07-26,NIFTY 50,11247.45,11307.6,11210.05,11284.3,522670016,INR
2019-07-29,NIFTY 50,11307.5,11310.95,11152.4,11189.2,482860000,INR
2019-07-30,NIFTY 50,11213.7,11267.45,11072.65,11085.4,479060000,INR
2019-07-31,NIFTY 50,11034.05,11145.3,10999.4,11118.0,536689984,INR
2019-08-01,NIFTY 50,11060.2,11076.75,10881.0,10980.0,499920000,INR
2019-08-02,NIFTY 50,10930.3,11080.15,10848.95,10997.35,547420032,INR
2019-08-05,NIFTY 50,10895.8,10895.8,10782.6,10862.6,506560000,INR
2019-08-06,NIFTY 50,10815.4,11018.55,10813.8,10948.25,517889984,INR
2019-08-07,NIFTY 50,10958.1,10975.65,10835.9,10855.5,548470016,INR
2019-08-08,NIFTY 50,10899.2,11058.05,10842.95,11032.45,482470016,INR
2019-08-09,NIFTY 50,11087.9,11181.45,11062.8,11109.65,538060032,INR
2019-08-13,NIFTY 50,11139.4,11145.9,10901.6,10925.85,624640000,INR
