Date,Stock,Open,High,Low,Close,Volume,Change Pct
2019-01-11,ADANIENT,151.1,152.6,149.1,151.5,2254999,0.26
2019-01-14,ADANIENT,151.0,151.15,147.0,148.35,2624582,-2.08
2019-01-15,ADANIENT,148.5,149.95,147.25,148.65,1805678,0.2
2019-01-16,ADANIENT,148.2,150.7,148.0,148.45,1574176,-0.13
2019-01-17,ADANIENT,148.4,151.25,146.35,149.0,2618859,0.37
2019-01-18,ADANIENT,149.7,149.8,144.55,146.75,2306520,-1.51
2019-01-21,ADANIENT,146.5,148.0,144.25,145.95,1763205,-0.55
2019-01-22,ADANIENT,145.4,146.65,141.7,145.7,2261667,-0.17
2019-01-23,ADANIENT,145.5,146.5,142.05,143.0,2322990,-1.85
2019-01-24,ADANIENT,143.0,144.05,141.1,142.55,1678843,-0.31
2019-01-25,ADANIENT,142.85,145.45,136.15,137.35,3297651,-3.65
2019-01-28,ADANIENT,138.0,141.0,118.95,136.4,9404485,-0.69
2019-01-29,ADANIENT,136.45,143.8,133.6,140.8,4301493,3.23
2019-01-30,ADANIENT,140.9,141.5,136.5,139.9,3102926,-0.64
2019-01-31,ADANIENT,139.5,141.75,135.0,137.15,3498642,-1.97
2019-02-01,ADANIENT,136.95,144.8,134.55,143.0,7091209,4.27
2019-02-04,ADANIENT,142.9,142.9,121.3,123.1,9832462,-13.92
2019-02-05,ADANIENT,122.0,127.4,119.6,124.25,8484607,0.93
2019-02-06,ADANIENT,123.85,124.2,114.8,122.9,9905219,-1.09
2019-02-07,ADANIENT,122.2,126.8,119.05,123.95,9826247,0.85
2019-02-08,ADANIENT,123.0,125.45,115.7,123.75,8059813,-0.16
2019-02-11,ADANIENT,122.95,123.25,115.8,118.2,7048335,-4.48
2019-02-12,ADANIENT,117.2,120.0,115.35,116.95,3698931,-1.06
2019-02-13,ADANIENT,117.0,125.6,115.5,119.55,9784596,2.22
2019-02-14,ADANIENT,118.45,119.5,116.0,118.1,4962697,-1.21
2019-02-15,ADANIENT,118.15,121.15,116.5,119.8,4509378,1.44
2019-02-18,ADANIENT,118.3,119.9,116.1,117.5,2569451,-1.92
2019-02-19,ADANIENT,118.4,119.8,116.8,118.25,2644152,0.64
2019-02-20,ADANIENT,117.95,121.1,116.2,120.05,3739081,1.52
2019-02-21,ADANIENT,119.8,121.0,117.9,119.4,2698192,-0.54
2019-02-22,ADANIENT,120.25,130.7,119.8,128.05,14695085,7.24
2019-02-25,ADANIENT,125.0,133.9,123.0,132.0,12769956,3.08
2019-02-26,ADANIENT,130.0,134.3,128.0,132.1,8879092,0.08
2019-02-27,ADANIENT,133.8,136.3,129.55,132.25,5875292,0.11
2019-02-28,ADANIENT,133.5,134.2,128.0,128.85,3960957,-2.57
2019-03-01,ADANIENT,130.35,135.2,128.85,133.85,7738116,3.88
2019-03-05,ADANIENT,132.5,143.7,132.0,141.8,7598974,5.94
2019-03-06,ADANIENT,142.75,143.75,138.2,139.25,4856085,-1.8
2019-03-07,ADANIENT,139.0,140.95,135.3,136.9,3496617,-1.69
2019-03-08,ADANIENT,135.75,139.35,135.4,138.2,3681442,0.95
